"dateaccessed";"url";"manufacturer";"model";"alsoKnownAs";"releaseDate";"power";"incomePDay";"electricityPDay";"graphlabels";"graphdata"
"25/07/2022 11:35:06";"https://www.asicminervalue.com/miners/bitmain/antminer-s19-xp-140th";"Bitmain";"Antminer S19 XP (140Th)";"S19XP";"July 2022";"3010W";"14.26";"-8.67";"1658707200000,1658620800000,1658534400000,1658448000000,1658361600000,1658275200000,1658188800000,1658102400000,1658016000000,1657929600000,1657843200000,1657756800000,1657670400000,1657584000000,1657497600000,1657411200000,1657324800000,1657238400000,1657152000000,1657065600000,1656979200000,1656892800000,1656806400000,1656720000000,1656633600000,1656547200000,1656460800000,1656374400000,1656288000000,1656201600000,1656115200000,1656028800000,1655942400000,1655856000000,1655769600000,1655683200000,1655596800000,1655510400000,1655424000000,1655337600000,1655251200000,1655164800000,1655078400000,1654992000000,1654905600000,1654819200000,1654732800000,1654646400000,1654560000000,1654473600000,1654387200000,1654300800000,1654214400000,1654128000000,1654041600000,1653955200000,1653868800000,1653782400000,1653696000000,1653609600000,1653523200000,1653436800000,1653350400000,1653264000000,1653177600000,1653091200000,1653004800000,1652918400000,1652832000000,1652745600000,1652659200000,1652572800000,1652486400000,1652400000000,1652313600000,1652227200000,1652140800000,1652054400000,1651968000000,1651881600000,1651795200000,1651708800000,1651622400000,1651536000000,1651449600000,1651363200000,1651276800000,1651190400000,1651104000000,1651017600000,1650931200000";"5.5,5.91,5.88,6.49,5.77,6.08,5.37,4.97,4.6,4.59,4.78,4.19,3.59,3.51,3.98,4.33,4.69,4.82,4.22,3.76,3.56,3.15,2.87,2.99,3.23,3.05,3.56,3.87,4.11,4.27,4.22,4.18,3.77,3.48,3.81,3.39,2.74,2.9,3.81,4.19,4.09,4.83,6.13,8.2,8.95,9.44,9.8,9.93,9.66,10.41,9.54,9.46,9.64,9.85,10.48,10.95,10.55,9.55,9.55,9.51,9.93,9.68,9.03,9.39,9.23,8.82,9.11,9.3,9.09,9.63,9.52,9.25,9.06,9.58,8.5,10.29,11.36,12.15,13.43,14.6,14.87,16.19,15.89,15.65,15.8,15.55,15.95,16.69,16.64,17.1,18"
"25/07/2022 11:35:10";"https://www.asicminervalue.com/miners/bitmain/antminer-s19-pro-hyd-198th";"Bitmain";"Antminer S19 Pro+ Hyd (198Th)";"j0-10";"May 2022";"5445W";"20.16";"-15.68";"1658707200000,1658620800000,1658534400000,1658448000000,1658361600000,1658275200000,1658188800000,1658102400000,1658016000000,1657929600000,1657843200000,1657756800000,1657670400000,1657584000000,1657497600000,1657411200000,1657324800000,1657238400000,1657152000000,1657065600000,1656979200000,1656892800000,1656806400000,1656720000000,1656633600000,1656547200000,1656460800000,1656374400000,1656288000000,1656201600000,1656115200000,1656028800000,1655942400000,1655856000000,1655769600000,1655683200000,1655596800000,1655510400000,1655424000000,1655337600000,1655251200000,1655164800000,1655078400000,1654992000000,1654905600000,1654819200000,1654732800000,1654646400000,1654560000000,1654473600000,1654387200000,1654300800000,1654214400000,1654128000000,1654041600000,1653955200000,1653868800000,1653782400000,1653696000000,1653609600000,1653523200000,1653436800000,1653350400000,1653264000000,1653177600000,1653091200000,1653004800000,1652918400000,1652832000000,1652745600000,1652659200000,1652572800000,1652486400000,1652400000000,1652313600000,1652227200000,1652140800000,1652054400000,1651968000000,1651881600000,1651795200000,1651708800000,1651622400000,1651536000000,1651449600000,1651363200000,1651276800000,1651190400000,1651104000000,1651017600000,1650931200000";"4.35,4.94,4.89,5.75,4.75,5.18,4.17,3.61,3.09,3.07,3.34,2.51,1.65,1.54,2.21,2.7,3.21,3.4,2.54,1.89,1.62,1.03,0.64,0.8,1.15,0.89,1.61,2.05,2.39,2.62,2.54,2.49,1.9,1.5,1.97,1.37,0.45,0.69,1.97,2.5,2.36,3.41,5.25,8.18,9.24,9.92,10.44,10.63,10.24,11.3,10.07,9.96,10.21,10.5,11.4,12.06,11.5,10.09,10.08,10.03,10.62,10.27,9.35,9.86,9.63,9.06,9.46,9.73,9.43,10.2,10.04,9.66,9.39,10.13,8.6,11.12,12.65,13.77,15.58,17.23,17.61,19.48,19.06,18.72,18.92,18.57,19.14,20.18,20.12,20.77,22.04"
"25/07/2022 11:35:14";"https://www.asicminervalue.com/miners/microbt/whatsminer-m50s";"MicroBT";"Whatsminer M50S";"";"125 x 225 x 425mm";"3276W";"12.82";"-9.43";"1658707200000,1658620800000,1658534400000,1658448000000,1658361600000,1658275200000,1658188800000,1658102400000,1658016000000,1657929600000,1657843200000,1657756800000,1657670400000,1657584000000,1657497600000,1657411200000,1657324800000,1657238400000,1657152000000,1657065600000,1656979200000,1656892800000,1656806400000,1656720000000,1656633600000,1656547200000,1656460800000,1656374400000,1656288000000,1656201600000,1656115200000,1656028800000,1655942400000,1655856000000,1655769600000,1655683200000,1655596800000,1655510400000,1655424000000,1655337600000,1655251200000,1655164800000,1655078400000,1654992000000,1654905600000,1654819200000,1654732800000,1654646400000,1654560000000,1654473600000,1654387200000,1654300800000,1654214400000,1654128000000,1654041600000,1653955200000,1653868800000,1653782400000,1653696000000,1653609600000,1653523200000,1653436800000,1653350400000,1653264000000,1653177600000,1653091200000,1653004800000,1652918400000,1652832000000,1652745600000,1652659200000,1652572800000,1652486400000,1652400000000,1652313600000,1652227200000,1652140800000,1652054400000,1651968000000,1651881600000,1651795200000,1651708800000,1651622400000,1651536000000,1651449600000,1651363200000,1651276800000,1651190400000,1651104000000,1651017600000,1650931200000";"3.31,3.69,3.66,4.21,3.56,3.84,3.2,2.84,2.51,2.5,2.67,2.14,1.6,1.52,1.95,2.26,2.59,2.71,2.16,1.75,1.57,1.2,0.95,1.06,1.28,1.11,1.57,1.85,2.06,2.21,2.16,2.13,1.76,1.5,1.8,1.42,0.83,0.98,1.8,2.14,2.05,2.71,3.89,5.75,6.42,6.86,7.19,7.31,7.06,7.73,6.95,6.88,7.04,7.23,7.8,8.22,7.87,6.97,6.96,6.93,7.3,7.08,6.5,6.82,6.67,6.31,6.56,6.74,6.54,7.03,6.93,6.69,6.52,6.99,6.02,7.62,8.59,9.3,10.46,11.51,11.75,12.94,12.67,12.45,12.59,12.36,12.72,13.39,13.35,13.76,14.57"
"25/07/2022 11:35:18";"https://www.asicminervalue.com/miners/microbt/whatsminer-m50";"MicroBT";"Whatsminer M50";"";"125 x 225 x 425mm";"3306W";"11.60";"-9.52";"1658707200000,1658620800000,1658534400000,1658448000000,1658361600000,1658275200000,1658188800000,1658102400000,1658016000000,1657929600000,1657843200000,1657756800000,1657670400000,1657584000000,1657497600000,1657411200000,1657324800000,1657238400000,1657152000000,1657065600000,1656979200000,1656892800000,1656806400000,1656720000000,1656633600000,1656547200000,1656460800000,1656374400000,1656288000000,1656201600000,1656115200000,1656028800000,1655942400000,1655856000000,1655769600000,1655683200000,1655596800000,1655510400000,1655424000000,1655337600000,1655251200000,1655164800000,1655078400000,1654992000000,1654905600000,1654819200000,1654732800000,1654646400000,1654560000000,1654473600000,1654387200000,1654300800000,1654214400000,1654128000000,1654041600000,1653955200000,1653868800000,1653782400000,1653696000000,1653609600000,1653523200000,1653436800000,1653350400000,1653264000000,1653177600000,1653091200000,1653004800000,1652918400000,1652832000000,1652745600000,1652659200000,1652572800000,1652486400000,1652400000000,1652313600000,1652227200000,1652140800000,1652054400000,1651968000000,1651881600000,1651795200000,1651708800000,1651622400000,1651536000000,1651449600000,1651363200000,1651276800000,1651190400000,1651104000000,1651017600000,1650931200000";"2.01,2.35,2.32,2.82,2.24,2.49,1.91,1.59,1.29,1.27,1.43,0.95,0.46,0.39,0.78,1.06,1.36,1.47,0.97,0.6,0.44,0.1,-0.12,-0.03,0.17,0.02,0.44,0.69,0.88,1.01,0.97,0.94,0.6,0.37,0.64,0.3,-0.23,-0.1,0.64,0.95,0.87,1.47,2.53,4.22,4.83,5.22,5.52,5.63,5.4,6.01,5.3,5.24,5.39,5.56,6.07,6.45,6.13,5.32,5.31,5.28,5.62,5.42,4.89,5.19,5.05,4.72,4.95,5.11,4.94,5.38,5.29,5.07,4.91,5.34,4.46,5.91,6.79,7.43,8.48,9.43,9.65,10.72,10.48,10.28,10.4,10.2,10.53,11.13,11.09,11.46,12.19"
"25/07/2022 11:35:22";"https://www.asicminervalue.com/miners/bitmain/antminer-s19-pro-110th";"Bitmain";"Antminer S19 Pro (110Th)";"";"195 x 290 x 370mm";"3250W";"11.20";"-9.36";"1658707200000,1658620800000,1658534400000,1658448000000,1658361600000,1658275200000,1658188800000,1658102400000,1658016000000,1657929600000,1657843200000,1657756800000,1657670400000,1657584000000,1657497600000,1657411200000,1657324800000,1657238400000,1657152000000,1657065600000,1656979200000,1656892800000,1656806400000,1656720000000,1656633600000,1656547200000,1656460800000,1656374400000,1656288000000,1656201600000,1656115200000,1656028800000,1655942400000,1655856000000,1655769600000,1655683200000,1655596800000,1655510400000,1655424000000,1655337600000,1655251200000,1655164800000,1655078400000,1654992000000,1654905600000,1654819200000,1654732800000,1654646400000,1654560000000,1654473600000,1654387200000,1654300800000,1654214400000,1654128000000,1654041600000,1653955200000,1653868800000,1653782400000,1653696000000,1653609600000,1653523200000,1653436800000,1653350400000,1653264000000,1653177600000,1653091200000,1653004800000,1652918400000,1652832000000,1652745600000,1652659200000,1652572800000,1652486400000,1652400000000,1652313600000,1652227200000,1652140800000,1652054400000,1651968000000,1651881600000,1651795200000,1651708800000,1651622400000,1651536000000,1651449600000,1651363200000,1651276800000,1651190400000,1651104000000,1651017600000,1650931200000";"1.77,2.1,2.07,2.55,1.99,2.23,1.67,1.36,1.07,1.06,1.21,0.75,0.27,0.21,0.58,0.85,1.14,1.24,0.76,0.4,0.25,-0.07,-0.29,-0.2,-0.01,-0.15,0.25,0.49,0.68,0.81,0.76,0.74,0.41,0.19,0.45,0.11,-0.4,-0.27,0.45,0.74,0.67,1.25,2.27,3.89,4.49,4.86,5.15,5.26,5.04,5.63,4.94,4.89,5.02,5.19,5.69,6.05,5.74,4.96,4.95,4.93,5.25,5.06,4.55,4.83,4.7,4.38,4.61,4.76,4.59,5.02,4.93,4.72,4.57,4.98,4.13,5.53,6.38,7,8.01,8.92,9.14,10.17,9.94,9.75,9.86,9.67,9.98,10.56,10.53,10.89,11.6"
"25/07/2022 11:35:26";"https://www.asicminervalue.com/miners/bitmain/antminer-s19j-pro-104th";"Bitmain";"Antminer S19j Pro (104Th)";"";"195 x 290 x 370mm";"3068W";"10.59";"-8.84";"1658707200000,1658620800000,1658534400000,1658448000000,1658361600000,1658275200000,1658188800000,1658102400000,1658016000000,1657929600000,1657843200000,1657756800000,1657670400000,1657584000000,1657497600000,1657411200000,1657324800000,1657238400000,1657152000000,1657065600000,1656979200000,1656892800000,1656806400000,1656720000000,1656633600000,1656547200000,1656460800000,1656374400000,1656288000000,1656201600000,1656115200000,1656028800000,1655942400000,1655856000000,1655769600000,1655683200000,1655596800000,1655510400000,1655424000000,1655337600000,1655251200000,1655164800000,1655078400000,1654992000000,1654905600000,1654819200000,1654732800000,1654646400000,1654560000000,1654473600000,1654387200000,1654300800000,1654214400000,1654128000000,1654041600000,1653955200000,1653868800000,1653782400000,1653696000000,1653609600000,1653523200000,1653436800000,1653350400000,1653264000000,1653177600000,1653091200000,1653004800000,1652918400000,1652832000000,1652745600000,1652659200000,1652572800000,1652486400000,1652400000000,1652313600000,1652227200000,1652140800000,1652054400000,1651968000000,1651881600000,1651795200000,1651708800000,1651622400000,1651536000000,1651449600000,1651363200000,1651276800000,1651190400000,1651104000000,1651017600000,1650931200000";"1.69,2,1.97,2.42,1.89,2.12,1.59,1.3,1.02,1.01,1.16,0.72,0.27,0.21,0.56,0.82,1.09,1.19,0.74,0.39,0.25,-0.06,-0.26,-0.18,0.01,-0.13,0.25,0.48,0.65,0.78,0.74,0.71,0.4,0.19,0.43,0.12,-0.36,-0.24,0.44,0.72,0.64,1.19,2.16,3.7,4.25,4.61,4.88,4.98,4.78,5.34,4.69,4.63,4.76,4.92,5.39,5.74,5.44,4.7,4.7,4.67,4.98,4.79,4.31,4.58,4.46,4.16,4.37,4.51,4.35,4.76,4.67,4.48,4.33,4.72,3.92,5.24,6.04,6.63,7.58,8.45,8.65,9.63,9.41,9.23,9.34,9.16,9.45,10,9.97,10.31,10.98"
