"dateaccessed";"url";"professorName"
"04/08/2022 19:08:54";"http://www.econ.upatras.gr/el/people/teaching-staff/faculty";"Μέλη ΔΕΠ"
"04/08/2022 19:08:57";"http://www.econ.upatras.gr/el/people/teaching-staff/professor-emeritus";"Ομότιμος Καθηγητής"
"04/08/2022 19:09:00";"http://www.econ.upatras.gr/el/people/teaching-staff/teaching-staff";"ΕΔΙΠ"
"04/08/2022 19:09:03";"http://www.econ.upatras.gr/el/people/teaching-staff/teaching-fellow";"Λοιπό διδακτικό προσωπικό"
"04/08/2022 19:09:06";"http://www.econ.upatras.gr/el/people/technical-staff";"ΕΤΕΠ"
"04/08/2022 19:09:09";"http://www.econ.upatras.gr/el/people/admin-staff";"Διοικητικό Προσωπικό"
"04/08/2022 19:09:12";"http://www.econ.upatras.gr/el/people/phd";"Υποψήφιοι Διδάκτορες"
